loan_amnt,sub_grade,emp_length,verification_status,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_util,initial_list_status,installment_to_income,revol_to_income,home__MORTGAGE,home__NONE,home__OTHER,home__OWN,home__RENT,purpose__car,purpose__credit_card,purpose__debt_consolidation,purpose__educational,purpose__home_improvement,purpose__house,purpose__major_purchase,purpose__medical,purpose__moving,purpose__other,purpose__renewable_energy,purpose__small_business,purpose__vacation,purpose__wedding,expected,predict
2800,11,3.0,1,18.84,0,0,3,0.361,0,0.029690625,0.0790625,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAD,GOOD
11700,16,10.0,0,28.43,0,1,8,0.741,0,0.1505857142857143,6.485357142857143,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
15000,4,0.0,0,19.93,0,2,8,0.706,0,0.16325565217391302,9.292173913043479,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
14000,5,10.0,0,24.21,0,0,12,0.8340000000000001,0,0.038104285714285716,6.2448,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
3375,14,5.0,0,0.5,0,1,3,0.816,0,0.01385940594059406,0.15504950495049505,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GOOD,GOOD
12000,7,1.0,0,15.38,0,2,7,0.843,0,0.0949059787849566,2.906943105110897,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
6000,3,10.0,0,13.63,0,0,10,0.5920000000000001,0,0.05304285714285715,4.655714285714286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAD,GOOD
9750,17,3.0,1,11.71,0,1,5,0.981,0,0.20108076923076929,3.9605769230769234,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BAD,BAD
26000,21,2.0,0,15.21,0,1,12,0.501,0,0.2244830769230769,2.8063846153846157,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAD,BAD
11325,7,0.0,0,25.61,0,0,8,0.48700000000000004,0,0.1350981818181818,2.056,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BAD,GOOD
20000,9,10.0,0,21.55,2,0,14,0.327,0,0.078633786407767,1.0487766990291263,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
20000,7,8.0,0,5.39,1,1,10,0.382,0,0.07182495412844038,0.8870091743119266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GOOD,GOOD
13000,7,5.0,0,16.65,2,0,8,0.6409999999999999,1,0.05905914177037558,0.5323313268584512,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
21500,3,10.0,0,15.94,0,0,10,0.29100000000000004,0,0.10864378378378378,2.724162162162162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
25000,34,5.0,1,1.44,1,0,2,0.013000000000000001,0,0.13861436950146627,0.009824046920821115,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GOOD,BAD
35000,19,6.0,0,25.37,1,0,10,0.586,0,0.18124941176470588,2.9308235294117653,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
3950,16,10.0,1,30.35,0,3,8,0.872,0,0.04495263157894736,1.679684210526316,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
6000,12,3.0,1,2.38,0,3,5,0.268,0,0.08436249999999999,0.7029166666666666,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
25600,8,4.0,1,12.25,0,0,11,0.466,0,0.1022112,4.096080000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
3000,7,10.0,1,25.86,0,0,7,0.768,0,0.018169846153846158,1.3321846153846153,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD,GOOD
8400,6,7.0,1,7.71,0,0,4,0.293,0,0.11232916666666666,1.6479166666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
8800,1,8.0,0,7.03,1,0,11,0.115,0,0.04944738461538462,0.6657230769230771,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
4000,8,7.0,0,19.25,1,0,4,0.267,0,0.03209,0.89775,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
14000,7,3.0,1,21.95,0,0,7,0.737,0,0.11195499181669394,3.3854337152209486,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
8000,11,7.0,1,18.63,0,2,10,0.9259999999999999,0,0.04535154929577465,4.506929577464788,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
4650,10,6.0,1,16.23,0,2,15,0.337,0,0.02259857142857143,0.81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
15000,4,9.0,1,12.37,0,3,20,0.462,0,0.048086400000000015,6.7126399999999995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAD,GOOD
5000,5,3.0,1,6.35,0,0,8,0.494,0,0.04233866666666667,1.4218666666666666,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
12000,1,5.0,0,32.98,0,0,11,0.24600000000000002,1,0.0913075,0.70125,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GOOD,GOOD
9750,9,4.0,1,12.02,0,1,8,0.49,0,0.131616,3.2344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GOOD,BAD
10000,15,10.0,0,10.5,0,1,5,0.757,0,0.06816761904761905,1.5569523809523809,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
13000,18,5.0,0,11.54,0,1,9,0.57,0,0.07443839999999999,1.96976,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
15150,16,4.0,0,15.83,0,1,8,0.825,0,0.13814667725708232,2.3807254434736564,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
4500,3,3.0,1,12.97,0,0,9,0.444,0,0.028715172413793105,3.395379310344828,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GOOD,GOOD
7000,10,10.0,1,9.1,0,0,11,0.643,0,0.03661668874172185,3.3441059602649017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
8600,11,5.0,0,9.09,0,0,6,0.948,0,0.06530888888888889,2.4851111111111117,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
5000,3,1.0,1,9.64,0,0,12,0.322,0,0.061,2.6764,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
12000,9,10.0,1,16.85,0,1,11,0.8240000000000001,0,0.0971928,4.21152,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAD,BAD
9750,7,5.0,1,1.14,0,2,2,0.261,0,0.190806,1.1748,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BAD,BAD
8000,9,5.0,1,18.4,0,0,14,0.754,0,0.04799644444444445,0.8305777777777777,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,GOOD
12800,9,0.0,0,30.81,0,0,13,0.634,0,0.12130581297388375,10.156135916877282,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,GOOD,BAD
